
Channel      Spectral axis      Intensity
3.06000E+02      1.407437744E+03    1.04984E-02
3.07000E+02      1.407375244E+03   -1.22379E-02
3.08000E+02      1.407312744E+03   -2.49031E-02
3.09000E+02      1.407250244E+03    2.34687E-02
3.10000E+02      1.407187744E+03    2.16376E-02
3.11000E+02      1.407125244E+03    2.10579E-03
3.12000E+02      1.407062744E+03    2.63680E-02
3.13000E+02      1.407000244E+03    3.29295E-02
3.14000E+02      1.406937744E+03    6.98875E-03
3.15000E+02      1.406875244E+03   -1.30009E-02
3.16000E+02      1.406812744E+03   -4.45569E-03
3.17000E+02      1.406750244E+03    1.59917E-02
3.18000E+02      1.406687744E+03   -6.28680E-03
3.19000E+02      1.406625244E+03   -7.35495E-03
3.20000E+02      1.406562744E+03    1.20243E-02
3.21000E+02      1.406500244E+03    1.70599E-02
3.22000E+02      1.406437744E+03    1.98065E-02
3.23000E+02      1.406375244E+03    2.68258E-02
3.24000E+02      1.406312744E+03   -2.31940E-03
3.25000E+02      1.406250244E+03   -2.65816E-02
3.26000E+02      1.406187744E+03    2.25838E-03
3.27000E+02      1.406125244E+03    3.17087E-02
3.28000E+02      1.406062744E+03   -1.25431E-02
3.29000E+02      1.406000244E+03   -3.11594E-02
3.30000E+02      1.405937744E+03   -3.54014E-03
3.31000E+02      1.405875244E+03   -2.61238E-02
3.32000E+02      1.405812744E+03    1.04984E-02
3.33000E+02      1.405750244E+03   -1.77312E-02
3.34000E+02      1.405687744E+03   -2.10883E-02
3.35000E+02      1.405625244E+03    1.46184E-02
3.36000E+02      1.405562744E+03   -2.38349E-02
3.37000E+02      1.405500244E+03    1.58391E-02
3.38000E+02      1.405437744E+03    2.86875E-03
3.39000E+02      1.405375244E+03   -3.43638E-02
3.40000E+02      1.405312744E+03    5.46282E-03
3.41000E+02      1.405250244E+03   -1.37638E-02
3.42000E+02      1.405187744E+03    1.88910E-02
3.43000E+02      1.405125244E+03    6.68356E-03
3.44000E+02      1.405062744E+03   -2.53609E-02
3.45000E+02      1.405000244E+03    1.04984E-02
3.46000E+02      1.404937744E+03    4.39468E-03
3.47000E+02      1.404875244E+03   -2.06305E-02
3.48000E+02      1.404812744E+03   -6.33564E-02
3.49000E+02      1.404750244E+03   -2.12409E-02
3.50000E+02      1.404687744E+03    1.06510E-02
3.51000E+02      1.404625244E+03   -1.14749E-02
3.52000E+02      1.404562744E+03   -2.97861E-02
3.53000E+02      1.404500244E+03   -2.62764E-02
3.54000E+02      1.404437744E+03    4.85245E-03
3.55000E+02      1.404375244E+03    3.02134E-03
3.56000E+02      1.404312744E+03   -2.61238E-02
3.57000E+02      1.404250244E+03   -1.95624E-02
3.58000E+02      1.404187744E+03    1.43132E-02
3.59000E+02      1.404125244E+03    1.56865E-02
3.60000E+02      1.404062744E+03    8.97245E-03
3.61000E+02      1.404000244E+03    1.03458E-02
3.62000E+02      1.403937744E+03   -3.38754E-03
3.63000E+02      1.403875244E+03   -2.09357E-02
3.64000E+02      1.403812744E+03   -1.83100E-04
3.65000E+02      1.403750244E+03    1.44658E-02
3.66000E+02      1.403687744E+03    3.32653E-03
3.67000E+02      1.403625244E+03   -7.50754E-03
3.68000E+02      1.403562744E+03   -5.82902E-03
3.69000E+02      1.403500244E+03   -2.21564E-02
3.70000E+02      1.403437744E+03    1.67547E-02
3.71000E+02      1.403375244E+03    1.26347E-02
3.72000E+02      1.403312744E+03   -5.06606E-03
3.73000E+02      1.403250244E+03   -2.52083E-02
3.74000E+02      1.403187744E+03   -2.50557E-02
3.75000E+02      1.403125244E+03    1.29399E-02
3.76000E+02      1.403062744E+03   -5.37125E-03
3.77000E+02      1.403000244E+03   -2.65816E-02
3.78000E+02      1.402937744E+03   -3.08236E-03
3.79000E+02      1.402875244E+03   -2.15461E-02
3.80000E+02      1.402812744E+03   -3.71105E-02
3.81000E+02      1.402750244E+03   -3.02438E-02
3.82000E+02      1.402687744E+03   -6.13421E-03
3.83000E+02      1.402625244E+03   -1.17801E-02
3.84000E+02      1.402562744E+03   -6.13421E-03
3.85000E+02      1.402500244E+03    1.09562E-02
3.86000E+02      1.402437744E+03    2.07221E-02
3.87000E+02      1.402375244E+03   -6.59199E-03
3.88000E+02      1.402312744E+03   -1.62053E-02
3.89000E+02      1.402250244E+03   -1.30009E-02
